,D1,D2,diferenca_D1_D2,desvio_absoluto_D1,desvio_absoluto_D2,volume_V1,volume_V2,desvio_absoluto_V1,desvio_absoluto_V2
25,18.31,18.6,0.2900000000000027,-0.6507000000000005,-0.34130000000000393,3214.131604369771,3369.2827227513676,-364.489791303592,-198.24236697410606
26,19.1,18.8,-0.3000000000000007,0.1393000000000022,-0.14130000000000464,3648.368724126895,3479.1421234522995,69.74732845353174,-88.38296627317413
27,18.4,18.51,0.11000000000000298,-0.5607000000000006,-0.4313000000000038,3261.760666984704,3320.610054472839,-316.86072868865904,-246.91503525263488
28,18.9,18.8,-0.09999999999999787,-0.06070000000000064,-0.14130000000000464,3534.9561821347506,3479.1421234522995,-43.665213538612534,-88.38296627317413
29,17.9,17.3,-0.5999999999999979,-1.0607000000000006,-1.6413000000000046,3003.016478041171,2711.046281594497,-575.6049176321922,-856.4788081309766
30,19.6,19.5,-0.10000000000000142,0.6393000000000022,0.5586999999999946,3942.4558304233133,3882.419471214436,363.8344347499501,314.89438148896215
31,18.18,18.3,0.120000000000001,-0.7806999999999995,-0.6413000000000046,3146.156043113803,3208.868289470092,-432.46535255955996,-358.65680025538177
32,18.38,18.34,-0.03999999999999915,-0.5807000000000002,-0.6013000000000055,3251.136047768886,3229.956075172075,-327.4853479044773,-337.5690145533986
33,18.6,18.44,-0.16000000000000014,-0.3606999999999978,-0.5013000000000041,3369.2827227513676,3283.079296914875,-209.33867292199557,-284.4457928105985
34,18.16,18.14,-0.019999999999999574,-0.8006999999999991,-0.8013000000000048,3135.7841084782985,3125.434994371829,-442.8372871950646,-442.09009535364476
35,19.38,19.18,-0.1999999999999993,0.4192999999999998,0.23869999999999436,3811.184209652664,3694.404382990698,232.5628139793007,126.87929326522453
36,17.76,17.8,0.03999999999999915,-1.2006999999999977,-1.1413000000000046,2933.104300319855,2952.967241878057,-645.517095353508,-614.5578478474167
37,18.48,18.9,0.41999999999999815,-0.4806999999999988,-0.041300000000006776,3304.490616394696,3534.9561821347506,-274.130779278667,-32.56890759072303
38,19.38,19.3,-0.0799999999999983,0.4192999999999998,0.35869999999999536,3811.184209652664,3764.1814429063797,232.5628139793007,196.65635318090608
39,19.42,19.38,-0.0400000000000027,0.4593000000000025,0.43869999999999365,3834.8316142523468,3811.184209652664,256.2102185789836,243.6591199271902
40,19.28,19.24,-0.0400000000000027,0.3193000000000019,0.2986999999999931,3752.491446789876,3729.184113311759,173.87005111651297,161.65902358628546
41,19.72,19.92,0.20000000000000284,0.7592999999999996,0.9786999999999964,4015.312530785454,4138.725516176211,436.6911351120907,571.2004264507377
42,19.94,19.96,0.019999999999999574,0.9793000000000021,1.0186999999999955,4151.204077181507,4163.707695529808,572.5826815081441,596.1826058043343
43,18.52,18.44,-0.0799999999999983,-0.44069999999999965,-0.5013000000000041,3325.9948264860977,3283.079296914875,-252.62656918726543,-284.4457928105985
44,19.98,19.84,-0.14000000000000057,1.0193000000000012,0.8986999999999945,4176.2363963538555,4089.061342930251,597.6150006804924,521.5362532047775
45,19.92,19.94,0.019999999999999574,0.9593000000000025,0.9986999999999959,4138.725516176211,4151.204077181507,560.1041205028482,583.6789874560336
46,19.58,19.54,-0.03999999999999915,0.6192999999999991,0.5986999999999938,3930.3993989396927,3906.3603257007035,351.7780032663295,338.8352359752298
47,18.98,18.86,-0.120000000000001,0.019300000000001205,-0.08130000000000592,3580.0347862125664,3512.5594832695756,1.413390539203192,-54.96560645589807
48,19.92,19.88,-0.0400000000000027,0.9593000000000025,0.9386999999999937,4138.725516176211,4113.843465663667,560.1041205028482,546.3183759381936
